Symbol
AAPL
MSFT
GOOGL
GOOG
AMZN
BRK.B
UNH
JNJ
XOM
V
WMT
JPM
PG
NVDA
CVX
LLY
TSLA
MA
HD
META
ABBV
PFE
MRK
KO
BAC
PEP
AVGO
ORCL
TMO
COST
MCD
CSCO
DHR
ABT
NKE
TMUS
ACN
NEE
VZ
LIN
PM
DIS
WFC
ADBE
BMY
UPS
CMCSA
SCHW
TXN
COP
RTX
HON
MS
AMGN
T
CRM
DE
UNP
IBM
LMT
CAT
NFLX
LOW
ELV
QCOM
CVS
GS
SBUX
BA
SPGI
AXP
INTU
INTC
GILD
BLK
PLD
MDT
CI
AMD
ADP
AMT
ISRG
SYK
MDLZ
CB
TJX
GE
EL
C
MO
NOC
ADI
MMC
AMAT
DUK
SO
PYPL
EOG
BKNG
NOW
REGN
PGR
SLB
VRTX
BDX
APD
MRNA
ITW
GD
HCA
ZTS
TGT
CL
MMM
BSX
CSX
WM
HUM
USB
FISV
PNC
ETN
AON
SHW
EQIX
CME
ATVI
CCI
OXY
NSC
EMR
ICE
TFC
MET
PXD
FCX
LRCX
DG
MPC
MU
MCK
MNST
ORLY
ADM
KLAC
CHTR
BX
VMW
D
KDP
GIS
MCO
KHC
SRE
PSA
AEP
PSX
VLO
SNPS
HSY
SCCO
GM
AIG
MAR
KMB
CTAS
CNC
AZO
ROP
EW
APH
UBER
AFL
FDX
TRV
SNOW
A
F
HES
JCI
CDNS
MSI
EXC
CTVA
DXCM
PANW
PAYX
ECL
RSG
DVN
KMI
WMB
O
ADSK
FIS
AJG
ROST
BIIB
SYY
KKR
LHX
TT
XEL
CMG
NEM
LNG
SPG
LULU
MCHP
FTNT
IQV
PH
STZ
ENPH
LVS
PRU
MSCI
YUM
ANET
BK
ALL
DOW
HAL
NUE
CARR
PCAR
ABC
COF
CMI
ED
DD
TDG
HLT
IDXX
EA
ABNB
WBA
WDAY
KR
AMP
PCG
OTIS
MTD
AME
SQ
BF.B
BF.A
DLTR
ODFL
VICI
CSGP
WELL
PEG
MRVL
DHI
SBAC
KEYS
RMD
WEC
NDAQ
PPG
ILMN
ES
ROK
OKE
BKR
CTSH
DLR
CEG
ALNY
GWW
GFS
STT
AWK
VRSK
LYB
FAST
GLW
ZBH
HPQ
ON
IT
WTW
IFF
DFS
GPN
LEN.B
LEN
HZNP
BAX
MTB
EIX
ALB
HRL
