Date,BCI,CCI,CLI,3 month interbank rate,Broad money,Construction,Consumer prices,Manufacturing hourly earnings,Industrial production,Long-term interest rate,Manufacturing confidence indicator,Narrow money,Overnight interbank rate,Car registrations,Manufacturing producer prices,Retail trade volume,Total employment,Total manufacturing
1990-01-01,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-02,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-03,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-04,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-05,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-06,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-07,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-08,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-09,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-10,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-11,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-12,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-13,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-14,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-15,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-16,98.82436,100.6531,99.79373,8.16,26.291188948203,40.3851243095576,53.7514186746098,52.8554680957964,61.1058257164587,8.21,-5.6,26.3248909886728,8.23,138.40738526931,60.7383454594449,67.5092200754082,119081.0,61.2449829749777
1990-01-17,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-18,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-19,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-20,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-21,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-22,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-23,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-24,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-25,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-26,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-27,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-28,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-29,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-30,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-01-31,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-01,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-02,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-03,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-04,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-05,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-06,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-07,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-08,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-09,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-10,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-11,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-12,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-13,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-14,99.03704,100.6351,99.82406,8.22,26.3941353745506,41.0244310907685,54.0045650733914,53.4583821805393,61.6676773486709,8.47,-1.8,26.4142513176512,8.24,125.908215447964,60.4688763136621,66.6754424729389,119059.0,62.0803826495679
1990-02-15,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-16,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-17,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-18,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-19,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-20,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-21,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-22,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-23,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-24,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-25,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-26,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
1990-02-27,99.20514,100.704,99.82319,8.35,26.4846286041627,41.4982632401409,54.2999025386365,53.7598392229107,61.9610931622468,8.59,-0.2,26.5267791393276,8.28,126.359832635983,60.5227701428186,66.5382783173019,119203.0,62.3828945107118
